Department,Major,Degree,School,Course Title,Course Description,Cost
Health & Human Services,Pre-Nursing,Other,NORTHERN VIRGINIA COMMUNITY COLLEGE,BIO 205 - GENERAL MICROBIOLOGY,"Examines morphology, genetics, physiology, ecology, and control of microorganisms. Emphasizes application of microbiological techniques to selected fields",542.6
Health & Human Services,Pre-Nursing,Other,NORTHERN VIRGINIA COMMUNITY COLLEGE,ENG 112 - COLLEGE COMPOSITION II,"Continues to develop college writing with increased emphasis on critical essays, argumentation, and research, developing these competencies through the examination of a range of texts about the human experience. Requires students to locate, evaluate, integrate, and document sources and effectively edit for style and usage",372.4
Fire/Rescue Services,Fire Protection Engineering,Masters (MA/MS/MPH/etc.),University of Maryland - College Park,INDUSTRIAL FIRE SAFETY,"Introduction to the basics of process safety in industrial facilities; hazard identification (release of flammable/toxic materials, dispersion, explosion hazards, fire hazards); consequence analysis; risk analysis; prevention and risk mitigation. The course combines an academic point of view with a process safety engineering point of view.",915
Fire/Rescue Services,Fire Protection Engineering,Masters (MA/MS/MPH/etc.),University of Maryland - College Park,PERFORMANCE BASED DESIGN,"This on-line course demonstrates how fire science can be used to solve fire protection problems in the built environment and will provide an understanding of their performance-based design process, deterministic and risk-based analysis techniques, development of design fire scenarios, trial design development and analysis, and building lifecycle management.
",915
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",POLITICAL AND POLICY ISSUES IN EMERGENCY MANAGEMENT,"An exploration of the process for developing, implementing, exercising, and evaluate- in continuity of operations for both government and industry. The goal is to identify critical and essential functions to ensure continuity of operations, evaluate and improve continuity plans, and recognize triggers and events that activate continuity plans. Emphasis is on being able to continue to supply services to constituents and customers while supporting staff and initiating recovery operations.
",915
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",EMERGENCY RESPONSE AND PREPAREDNESS,". A study of the planning process, format, and response procedures for disasters and emergency events. The goal is to evaluate risk vulnerabilities and capabilities, design an emergency plan, and evaluate and critically assess an emergency plan. Topics include risk assessment, modeling, hazard analysis, vulnerability assessment, and response capability assessment. Discussion also covers the evaluation of plans and the use of exercises to improve and implement plans.",915
Fire/Rescue Services,Fire Science,AA,MONTOGMERY COLLEGE,BUSINESS & PRFOESSIONAL SPEECH COMUNICATION,"A study of communication theory as applied to business and organizational environments. Emphasis on development of effective communication skills for professional situations including teambuilding, interviewing, public speaking, and accommodating diverse perspectives.",336
Fire/Rescue Services,Fire Science,AA,MONTOGMERY COLLEGE,INTERMEDIATE ALGEBRA,"An examination of algebraic skills and concepts intended to prepare students for MA 130, MA 160, and MA 180. Algebraic, graphical, numerical, and verbal approaches are used in working with a variety of functions and their applications, including linear, polynomial, exponential, logarithmic, rational, and radical functions. Solve systems of equations.",448
Fire/Rescue Services,Fire Protection Engineering,Bachelors (BA/BS),University of Maryland - College Park,INTRODUCTION TO DRAWING,"Introduction to thermodynamics. Thermodynamic properties of matter. First and second laws of thermodynamics, cycles, reactions, and mixtures.
",397
Fire/Rescue Services,Not Specified,Certificate,Appraisal Institute,15-HOUR NATIONAL USAP COURSE,"Using the National USPAP Course material copyrighted by The Appraisal Foundation, this two-day course covers basic rules for ethical behavior and competent performance. The course is designed to comply with USPAP requirements for state certified appraisers and it highlights the role of the appraiser and the implied impartiality often associated with this role. Participants will learn how requirements of the Uniform Standards of Professional Appraisal Practice affect their appraisal businesses. 


Using the National USPAP Course material copyrighted by The Appraisal Foundation, this two-day course covers basic rules for ethical behavior and competent performance. The course is designed to comply with USPAP requirements for state certified appraisers and it highlights the role of the appraiser and the implied impartiality often associated with this role. Participants will learn how requirements of the Uniform Standards of Professional Appraisal Practice affect their appraisal businesses. 

Using the National USPAP Course material copyrighted by The Appraisal Foundation, this two-day course covers basic rules for ethical behavior and competent performance. The course is designed to comply with USPAP requirements for state certified appraisers and it highlights the role of the appraiser and the implied impartiality often associated with this role. Participants will learn how requirements of the Uniform Standards of Professional Appraisal Practice affect their appraisal businesses. 


Using the National USPAP Course material copyrighted by The Appraisal Foundation, this two-day course covers basic rules for ethical behavior and competent performance. The course is designed to comply with USPAP requirements for state certified appraisers and it highlights the role of the appraiser and the implied impartiality often associated with this role",335
Police,Criminology and Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",INDEPENDENT RESEARCH IN CRIMINAL JUSTICE CCJS399,Integrated reading or research under direction and supervision of a faculty member.,1296
Police,Criminology and Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, COLLEGE PARK",CCJS452 CORRECTIONS,Processes and methods used to modify criminal and delinquent behavior,434
Fire/Rescue Services,Public Administration,Masters (MA/MS/MPH/etc.),Johns Hopkins University,PUBLIC HEALTH BIOLOGY,"Offers an integrative molecular and biological perspective on public health problems. Explores population biology and ecological principles underlying public health and reviews molecular biology in relation to public health biology. Modules focus on specific diseases of viral, bacterial, and environmental origin. Uses specific examples of each type to develop the general principles that govern interactions among susceptible organisms and etiologic agents. Devotes special attention to factors that act in reproduction and development. Places emphasis on common elements encountered in these modules. These may include origin and dissemination of drug resistance, organization and transmission of virulence determinants, modulation of immune responses, disruption of signal transduction pathways, and perturbation of gene expression. Also considers the role of the genetic constitution of the host.",1830
Fire/Rescue Services,Fire Protection Engineering,Bachelors (BA/BS),University of Maryland - College Park,HEAT & MASS TRANSFER PROCESS,"The applications selected will vary widely: from cooling of electronics to prevention of fog and stalagmite formation in ice rinks. Multi-mode (i.e. simultaneous conduction, convection, radiation, mass transfer) problems will be emphasized. Lectures on basic principles, followed by assignments in which students formulate solutions and explain results",924
Police,Other/Misc.,Certificate,FREDERICK COMMUNITY COLLEGE,BASIC RIDER I,"This 17-hour course is designed for the true beginning rider who has little or no riding experience. It includes classroom and riding instruction on the basic riding skills and strategies necessary for you to begin to practice street riding. During the seven hours of classroom time, we discuss responsible riding, selecting proper riding gear and basic riding skills, defensive riding strategies, and riding in a variety of situations. In addition to classroom training, we provide approximately 10 hours of riding on a training motorcycle practicing clutch-throttle control, stopping, turning, shifting and basic crash avoidance skills. Instructors evaluate and coach your performance throughout the course.",289
Police,Not Listed,Other,"GLOCK PROFESSIONAL, INC",GLOCK ARMORE'S COURSE,"Training is a class designed for new shooters, teaching the fundamentals of responsible gun ownership and safety. The class covers a wide range of skills and rules with both classroom instruction and live fire range time.",185
Police,Not Listed,Other,"The SANS (SysAdmin, Audit, Network, Security) INSTITUTE",FOR508 - ADVANCED COMPUTER FORENSIC ANALYSIS AND INCIDENT RESPONSE,"This course focuses on providing incident responders with the necessary skills to hunt down and counter a wide range of threats within enterprise networks, including economic espionage, activism, and financial crime syndicates.",1350
Police,Not Listed,Other,"The SANS (SysAdmin, Audit, Network, Security) INSTITUTE",FOR408 - COMPUTER FORENSIC INVESTIGATIONS - WINDOWS IN-DEPTH,Focuses on the critical knowledge of the Windows Operating System that every digital forensic analyst needs to investigate computer incidents successfully. You will learn how computer forensic analysts focus on collecting and analyzing data from computer systems to track user-based activity that can be used in internal investigations or civil/criminal litigation.,1350
Recreation,Human Resources,Masters (MA/MS/MPH/etc.),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",ISSUES AND PRACTICES IN HUMAN RESOURCE MANAGEMENT,"An overview of the human resource management profession, including the theories, research, and issues related to human resource management within modern organizations. The roles, responsibilities, relationships, functions, and processes of human resource management are discussed from a systems perspective. Expectations of various stakeholders, such as government, employees, labor organizations, staff/line management, and executive management, are explored. Particular attention is given to the general legal principles and provisions that govern human resource activities. The specialty areas of employee relations, staffing, human resource development, compensation, and organizational development are described.",915
Fire/Rescue Services,Not Specified,Certificate,Appraisal Institute,BASIC APPRAISAL PROCEDURES,"This four-day course will introduce you to real property concepts and characteristics, legal considerations, influences on real estate values, types of value, economic principles, market area analysis, highest and best use, and ethical considerations",510
Fire/Rescue Services,Not Specified,Certificate,Appraisal Institute,BASIC APPAISAL PRINCIPLES,"This four-day course will introduce you to real property concepts and characteristics, legal considerations, influences on real estate values, types of value, economic principles, market area analysis, highest and best use, and ethical considerations",510
Police,Business/Admin./Mgmt.,Other,MONTGOMERY COMMUNITY COLLEGE,MEDAITION,how-to guide for conducting mediation of various types of conflict,925
Police,Criminal Justice,Certificate,ACADEMI,AR-15/M16 ARMORER,"The premier course in the United States which sets the benchmark certification for the industry. For the professional who wants the designation of AR-15/M16 Armorer. The course covers the AR-15/M16 platforms and provides instruction on how to diagnose and repair malfunctions, return firearms to military specs, perform funciton inspections, check headspace and more. Armorer training classes are a mixture of classroom instuction and hands-on exercises, enabling each student to achieve a high degree of familiarity with the topics covered. Graduates will be able to repair and maintain the AR-15/M16 platform to military specifications, be issued a three year certification and recieve one on one ACADEMI phone and/or email support.",400
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,FUNCTIONAL SPOKEN SPANISH,This course provides a basis for learning and using Spanish and emphasizes listening and speaking skills with more limited consideration of reading and writing skills.,0
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLE HEALTH LIVING,A study of current health issues focused on information for making prudent personal health decisions.,336
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,MATHEMATICAL IDEAS,This course includes support content from intermediate algebra.,336
Permitting Services,None,Non-Degree,MARYLAND FIRE AND RESCUE INSTITUTE,FIRE INSPECTOR 1,"The objective of this course is to provide the student with an in-depth review of the skills attendant to the duties of a Fire Inspector I job performance requirements (JPR) of National Fire Protection Association, 1031, Standard for Fire Professional Qualifications for Fire Inspector and Plan Examiner.

Upon successful completion of this course, the student will be able to prepare reports on fire safety issues using the proper codes and standards; conduct research of the various codes to address deficiencies noted during a site visit; develop a checklist to complete fire safety inspections; and give a legal deposition given the findings of an inspection, plan review, or complaint.

Major topics covered in the course are developing written correspondence; creating inspection checklists and forms; processing permit applications; process plan review applications; testifying at legal proceedings; investigating complex complaints; recommending modifications to codes and standards; recommending policies and procedures for the delivery of inspection services; computing the occupant load of a multi-use building; identifying the occupancy classification of mixed-used buildings; classify the type of construction in a new building; analyze the egress elements of a building or portion of a building; evaluate hazardous conditions involving equipment, processes, and operations; evaluate emergency planning and preparedness procedures; verify fire flows for a site; verify code compliance for storage, handling, and use of flammable can combustible liquids and gases; evaluate code compliance for the storage; handling, and use of hazardous materials; determine the fire growth potential in a building or space; inspect emergency access for a site; classify the occupancy type; compute the occupant load; field verify the installation of a fire protection system; verify that egress elements are provided; and field verify the construction type of building or of a portion thereof. Methods of instruction include lecture, discussion, classroom exercises, audio/visual material, instructor evaluation, and completion of exercises, homework, and final written examination.",550
Investment Trustees,Accounting (Business),Certificate,BORRA CPA REVIEW,"FINANCIAL ACCOUNTING AND REPORTING, CPA REVIEW","This live Saturdays only course is to prepare students for the Financial Accounting and Reporting section of the CPA exam. This course prepares test-takers with detailed outlines, study guidelines, and skill-building problems to help candidates identify, focus on, and master the specific topics that need the most work.",725
Health & Human Services,Health & Human Services,Masters (MA/MS/MPH/etc.),CAPELLA UNIVERSITY,HS5423 - PHILOSOPHY OF SOCIAL WORK,"HS5317 Social Systems

Learners in this course review basic features and factors of social systems theory as it applies to groups, families, agencies, institutions or corporations, and government entities. The course addresses problems inherent in the operation of these systems and explores resolution of these problems from a systemic viewpoint. Additionally, learners in the course study issues of social policy making and decision making that affect conditions of social change.",1830
Fire/Rescue Services,Other/Misc.,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,EDMG515 HAZARD MITIGATION AND RESILIENT COMMUNITIES,"This course provides an overview of what is known about natural hazards, disasters, recovery, and mitigation, how research findings have been translated into policies and programs; and a sustainable hazard mitigation research agenda. The course also provides an examination of past disaster losses and hazards management over the past 50 years, including factors--demographic, climate, social--that influence loss.",997.5
Police,Other/Misc.,Certificate,"Force Science Institute, LTD.",REALISTIC DE-ESCALATION INSTRUCTOR COURSE- ONLINE,,395
Police,Physical Education,Certificate,FREDERICK COMMUNITY COLLEGE,PHED 152: METHODS OF STRENGTH AND CONDITIONING 2,"Designed for those who will be assisting others with exercise. Integrates fitness research and application, and emphasizes teaching methodologies employed in training programs that focus on group exercise. Students will apply teaching methodologies through individual and group training.",158.34
Police,Public Safety,Other,Green Ops,HIGH PERFORMANCE PISTOL,Below is the course description from Green Ops Website:,590
Police,Job Related,Certificate,"GLOCK PROFESSIONAL, INC","GLOCK PROFESSIONAL, INC. ARMORER'S COURSE","Glock Armorer's Course that involves the handgun's weapons design, function of safeties, unloading/clearing, detailed stripping and assembly, and diagnostics and troubleshooting guides.",185
Technology Services,Human Resources,Masters (MA/MS/MPH/etc.),Pennsylvania State University - Penn State Main Campus,HRER 504: SEMINAR IN EMPLOYMENT RELATIONS,"The system of employment relations in the United States (sometimes referred to as industrial or labor relations) began to take shape over 200 years ago as a means of working out the conflicting interests of employees and employers in a market economy. Over time it has evolved and adapted as the economic, political, social, and technological environment in which it operates has changed. The system has been remarkably successful in channeling, reducing, and resolving conflict between unions representing employees and management. It also brings stability to many relationships by providing a mechanism through which they can work out their differences. Today, disputes between the parties are very much the exception rather than the rule.
This seminar will provide you with an in-depth introduction to the contemporary American system of employment relations.",915
Technology Services,Human Resources,Masters (MA/MS/MPH/etc.),Pennsylvania State University - Penn State Main Campus,HRER 800: INTERNATIONAL AND COMPARATIVE EMPLOYMENT RELATIONS,"multinational organizations are managing their people in this complexity, making strategic choices in international HR/ER that align with the business's intent. Multiple perspectives are considered to find an appropriate focus on local customization or global standardization or a suitable balance between both. Answers to the question of which is the best way of achieving this balance for superior firm performance lie in (a) the organizational perspective on internationalization strategy, (b) national cultural dimensions impacting individuals' decision making and behaviors, and (c) differences in institutional drivers of employment regulations and market context.
Ultimately, you'll have the chance to explore the impact of internationalization on HR/ER professionals and the HR/ER function itself. Throughout the course you'll learn to apply the relevant concepts and theories. In the final simulation paper you will bring it all together by designing an IHRM function for an organization of your choice and recommending specific HR/ER strategies and practices, e.g., for staffing, global careers development, knowledge management, assignment administration, and employee relations.
As participants in this seminar, some of you will have had more workplace and/or international experience than others. This experience can bring many rich insights into understanding the practical implications of International HR/ER. The course will allow you to share your experiences and learn from each other. Where possible, for group work you will be asked to work with others with different areas of expertise to maximize your learning experience.",915
General Services,Accounting (Business),Certificate,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ACCOUNTING 202,"AC 202 ACCOUNTING II 4 semester hours AC-Accounting 
Course Description:  The study and analysis of managerial accounting. Topics include cost accumulation, evaluation, and analysis for decision making, as well as coverage of the statement of cash flows and financial statement analysis. (CE:R) PREREQUISITE: AC 201. Four hours each week. 
Course Outcomes:

Upon completion of the course, the student will be able to:


Determine the costs of products. 
Prepare, analyze, and evaluate budgetary reporting. 
Prepare, analyze, and interpret statement of cash flows. 
Prepare, analyze, and make decisions about internally generated financial reports to facilitate management decision making.",448
Technology Services,Social Work,AA,MONTGOMERY COUNTY COMMUNITY COLLEGE,BEHE 100 - INTRODUCTION TO BEHAVIORAL HEALTH PROMOTION,"Provides an introduction to and understanding of behavior disorders and insight into the personality of the disturbed person. Symptoms, contributing factors, treatment, diagnosis, and classification of the mentally ill and the mental defective, as well as the maladjusted person, will be studied. Roles of various members of the mental health team in the prevention, analysis, and rehabilitation of disturbed individuals will be discussed. PREREQUISITE: A grade of C or better in PSYC 100, or consent of department. Three hours each week.
3.000 Credit hours
3.000 Bill Hours",402
Health & Human Services,None,Non-Degree,Kennesaw State University,WEB DESIGN CERTIFICATE (CONTINUE WITH 3 MORE CLASSES),"1.	CSS3 & HTML5 Introduction - Online ($169)
2.	Dreamweaver Introduction - Online ($169)
3.	Marketing your business on the Internet - Online ($169)",547
Health & Human Services,None,Non-Degree,Kennesaw State University,ADVANCED WEB DESIGN CERTIFICATE (7 NEW CLASSES FOR THE ADVANCED LEVEL),"1.	CSS3 & HTML5 Intermediate - Online (required)- $169
2.	Advanced Web Pages - Online (required)- $169
3.	Achieving Top Search Engine Positions - Online (required)- $169
4.	ASP.Net Introduction - Online (elective)- $169
5.	Java Introduction - Online (elective)- $169
6.	PHP & MySQL Introduction - Online (elective)- $169
7.	PHP & MySQL Intermediate - Online (elective)- $169",1183
Public Information,Accounting (Business),Bachelors (BA/BS),NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ACCOUNTING 202,Accounting 202,392
Public Information,Accounting (Business),Bachelors (BA/BS),NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,ECONOMICS II,Micro Economics,392
Health & Human Services,Emergency Management,Masters (MA/MS/MPH/etc.),University of Maryland - University College,EMAN  600 - 9040   COMPREHENSIVE CRISIS AND EMERGENCY MANAGEMENT,"An analysis of all hazards, phases (mitigation, preparedness, response, and recovery), and actors involved in crisis and emergency management. Discussion covers the definition of crises, emergencies, and disasters and concepts and issues in crisis and emergency management. Focus is on developing crisis, contingency, and incident management plans. Current frameworks, management systems, and command systems for organizing a response, deploying resources, managing the response organization, supporting crisis communication, and making decisions in a turbulent environment are examined. Topics are discussed from U.S. and international perspectives.",1374
Health & Human Services,Emergency Management,Masters (MA/MS/MPH/etc.),University of Maryland - University College,MGMT  610 - 9022   ORGANIZATIONAL THEORY,"Formerly ADMN 601.) An overview of the fundamental concepts of organizational theory and design in the context of a postindustrial and increasingly global society. The study of organizations encompasses several key knowledge areas essential to today's manager: the impact of technological and workforce changes on society, organizational ethics and social responsibility, global issues, history of management thought and its relevance for managers today, and systems thinking and the challenges of managing in today's complex and rapidly changing environment. Discussion addresses essential concepts in organizational theory and design, including measuring effectiveness, organizational life cycles, options for organizational structure, and becoming the learning organization.",456
Human Resources,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),STRAYER UNIVERSITY,MARKETING MANAGEMENT,"Applies the major elements of the marketing process including domestic and foreign market assessment, strategic planning and the development of an effective marketing mix. Please see attachments",1830
Fire/Rescue Services,None,Non-Degree,University of Maryland - University College,ACCOUTING FOR NONACCOUNTING MANAGERS,A survey of accounting principles relevant in making business decisions of financial information.,843
Health & Human Services,Public Administration,Masters (MA/MS/MPH/etc.),American Public University System,LAW AND PUBLIC POLICY,"PAD M611-Law and Public Policy:This course critically examines the complex and ongoing role of courts in the public policy process. With renewed emphasis on economic stability, financial and non-financial regulation, decentralization, downsizing and re-engineering, there is an increasing awareness that public policy, and the administrative law system that manages it, are subject to intense political and cultural pressures. The attempt to address social concerns with new laws and regulations has created increased pressure on the administrative law process in the courts and legislative chambers. This course examines the sources, influences, operation and consequences of law and public policy formation, and analyzes public policy initiatives from political and legal aspects as to their intentions, achievable aims, and intended and unintended outcomes.",975
Health & Human Services,Public Administration,Masters (MA/MS/MPH/etc.),American Public University System,PUBLIC ADMINISTRATION IN SOCIETY,"PAD M520- Public Administration in Society:The student is introduced to the environment within which public administration functions and the dynamics of behavior within large organizations. How choices are made among competing policies, factors affecting the implementation of policy, and the role of policy evaluation in shaping policy choices are examined. Managing large scale bureaucratic organizations is analyzed including the role of leadership, the management of personnel and finances.",855
Health & Human Services,Human Resources,Certificate,MONTGOMERY COMMUNITY COLLEGE,PROFESSIONAL HUMAN RESOURCE MANAGEMENT CERTIFICATION,This is a SHRM PHR Certification Prep course. The course id is MGT300,655
Transportation,Computer Science,Bachelors (BA/BS),University of Maryland - University College,ALGEBRA & TRIGONOMETRY,College Level Algebra,915
Transportation,Computer Science,Bachelors (BA/BS),University of Maryland - University College,INTRODUCTION TO PSYCHOLOGY,Advanced Technical Writing,915
Police,Accounting (Business),AA,MONTGOMERY COMMUNITY COLLEGE,FEDERAL INCOME TAX II-AC214,"A critical examination, analysis, and application of the tax law for Subchapter C and S corporations. limited liability companies, partnerships, estates and trusts. Attention is given to taxation of gifts, exclusions, net operating losses, determination of shareholder and partner basis, consolidated entities, book and income tax reconciliation, owner contributions and distributions, and beneficiary share of income. Students also engage in both electronic research and return preparation practica. PREREQUISITE: AC 213. Four hours each week.",448
Police,Forensic Science,Masters (MA/MS/MPH/etc.),UNIVERSITY OF FLORIDA,PHA 6935 FORENSIC ANRHROPOLGY 1,"This course will provide an introduction to the basic knowledge of human anatomy and osteology, including human remains recovery and laboratory processes that are required of a forensic anthropologist. Each module will substitute the hands-on experience typically found in a laboratory setting by presenting carefully selected photographs and illustrated materials that will familiarize students with the practice of the discipline.",1800
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,ADVANCED SKILLS RESCUE WORKSHOP,"The Advanced Skills Rescue Workshop is a 7-day rope rescue course aimed at building upon the Team Skills Rescue Workshop (also offered by Ropes that Rescue Ltd.). It applies the skill sets aquired during the Team Skills Workshop, but at a much higher degree of intensity and complexity. The course covers highlines, including standard transportation, drooping, swiftwater, and reeving highlines. Advanced anchoring techniques for these highlines as well as the logistics for setting them up are covered. Advanced artificial high directionals such as V-frames, double A-frames, and over-the-edge AHD's are also presented. Additional topics for the course include single, twin, and quad trackline highlines, single and double yoke carriages, ideal vs practical fall factors, mid span litter package bypasses, and much more. The Advanced Skills Rescue Workshop is a highly rigging intensive course aimed at dealing with the remaining",1050
Libraries,None,Non-Degree,GALLAUDET UNIVERSITY,PST 212 - SURVEY OF DEAF CULTURE IN THE UNITED STATES,"Survey of Deaf Culture in the United States (history, folklore, anthropology, sociology)",744
Health & Human Services,Business/Admin./Mgmt.,Certificate,Montgomery College Rockville Campus,PERFORMANCE MANAGEMENT (AMA022),"Enhancing the performance of your people and your business depends on continuous improvement at all levels. An effective performance management system is essential to help employees perform at their best and align their contributions with the goals, values, and initiatives of the organization.",203
Police,Social Work,AA,FREDERICK COMMUNITY COLLEGE,ECONOMICS 201,"Introduces bacis concepts, the national acounts, national income analysis, business cycles and the monetary system with an essentially macro-economics approach.",218.15
Police,Social Work,AA,FREDERICK COMMUNITY COLLEGE,ED/PS208-ONL-1,"Presents central concepts related to parameters fof human development through the life span. Includes physical, social, emotional and mental development at the various stages of life. Considers teh influence of culture as well as individual defferences.",218.15
Police,Social Work,AA,FREDERICK COMMUNITY COLLEGE,GERONTOLOGY,"Examines psychological, sociological and physiological aspects of adulthood and aging. Emphasis is on the theories of why and how we age, lifestyles and factors taht influence health and aging, personal needs, self-actualization and crises of the later years.",218.15
Police,Social Work,AA,FREDERICK COMMUNITY COLLEGE,BIOLOGY 101,Presents a comprehensive survey of modern biology. Uses examples of all kingdoms of organisms to illlustrate basic biological principles in cell and molecular biology including classical and molecular genetics and principles of systematics.,218.15
Health & Human Services,None,Non-Degree,American College of Physicians (ACP),PEDIATRIC,Pediatric Board review to prepare for recertification in 2015.,0
County Attorney,Other/Misc.,AA,MONTGOMERY COMMUNITY COLLEGE,SYSTEM ANALYSIS AND DESIGN,"Exploration of the nature of systems work including studies, analysis, design, implementation, and evaluation. Introduction to the tools used in and techniques applied to systems development. A practical approach is emphasized and a systems study is expected of each student. PREREQUISITE: CS 110 or consent of department. Three hours each week.",336
Fire/Rescue Services,None,Non-Degree,UNIVERSITY OF NEW ENGLAND,MEDICAL ORGANIC CHEMISRTY I,,900
Transportation,Business/Admin./Mgmt.,Certificate,Montgomery College Rockville Campus,SUCCESSFUL PROJECT MANAGEMENT,"AMA 035 - Learn the project management process including project selection and evaluation. Gain skills in developing a project plan defining the scope, phases, milestone goals, and purposes. The types of project organizations will be detailed, including intrafunctional organizations, cross-functional matrix, and task force organizations. Learn how to construct a work breakdown structure and create a project task network. Students without prior PM training should register for this course before taking A Practical Approach to Project Management. This is a prerequisite course for individuals taking the Project Management Professional (PMP) certification course and the Certified Associate in Project Management (CAPM) certification course.",203
Transportation,Business/Admin./Mgmt.,Certificate,Montgomery College Rockville Campus,A PRACTICAL APPROACH TO PROJECT MANAGEMENT,PMC 013 - This course is intended as a prerequisite to the Project Management Professional (PMP) Certification Prep course and the Certified Associate in Project Management (CAPM) Prep. It provides mandatory classroom hours as well as important preparatory knowledge for the PMP prep course. Successful Project Management (AMA035) is a prerequisite to this course for students with no prior PM training. This course is certified by the Project Management Institute (PMI). (at GBTC),567
Transportation,Business/Admin./Mgmt.,Certificate,Montgomery College Rockville Campus,PRINCIBLES OF SUSTAINABILITY AND GREEN ARCHITECTURE,"CT107 - Introduces principles of energy conservation and their application to architectural design. The course examines materials, construction methods, site planning, and programming that offer sustainable solutions to design problems. It also assesses energy systems and concepts that conform to conserving natural resources.",0
Transportation,Business/Admin./Mgmt.,Certificate,Montgomery College Rockville Campus,SUSTAINABILITY/ENERGY CONSERVATION TECHNOLOGY,"CT 108 - Introduces materials, systems, and construction methods that conform to conserving natural resources. The course examines energy-saving techniques based on both residential and commercial use in the United States and worldwide.",0
Fire/Rescue Services,Not Listed,AA,HAGERSTOWN COMMUNITY COLLEGE,MATHEMATICS  MATH 101,College Algebra,351
Fire/Rescue Services,Not Listed,AA,HAGERSTOWN COMMUNITY COLLEGE,PSYCHOLOGY 101,College Psychology,351
Fire/Rescue Services,Not Listed,AA,HAGERSTOWN COMMUNITY COLLEGE,SPANISH 101,Introductory Spanish.,351
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,ADVANCED SKILLS RESCUE WORKSHOP,"The Advanced Skills Rescue Workshop. Emphasis is placed on how tech solutions to rescue scenarios before heading into technical solutions in the form of highlines. The seminar then explores all the available possibilities for setting up a horizonal, sloping, orsteep highline for removing, transporting, or inseting rescuers or a paitent. This eight day seminar explores all aspects of advanced rigging including fall factors (ideal and practical), and reviews the belay drop test data more acutely than previous courses.",1050
Transportation,Sociology,Bachelors (BA/BS),University of Maryland - University College,SOCIOLOGY OF RELIGION,"sociology of religion:An advanced examination of religion from a sociological perspective. The aim is to evaluate the influence of social location on religious beliefs and attitudes; examine relationships between church and state; and analyze current religious conflicts and controversies. Topics include fundamentalism versus extremism; modernity; religious conflicts; and the relationship of religion with race, class, gender, sexuality, and politics.",819
Transportation,Sociology,Bachelors (BA/BS),University of Maryland - University College,SOCIOLOGY,"sociology of the family: An advanced examination of the family in society. The aim is apply major sociological theories to understand family as a social institution; describe the changing definitions of family; examine demographic changes in marriage and family patterns; contrast micro- and macro-level interactions among individuals, families, and society; and evaluate the influence of media and technology on the perception and cohesion of the modern family. Topics include family research, single parenting, blended families, cultural differences in families, families over the life course, and governmental policies regarding families.",0
Police,General Studies,Bachelors (BA/BS),University of Maryland Global Campus,ENGLISH 281 - STANDARD ENGLISH AND GRAMMAR,"An overview of standard edited English, a standard central to academic and professional communications. The aim is to write clear, effective prose consistent with the writer's goals. Topics include applying advanced grammatical and linguistic descriptions and prescriptions and attending to the needs of diverse audiences while making writing and editing decisions. Tasks focus on parts of speech, sentence patterns, and sentence transformations.",750
General Services,HVAC,AA,Montgomery College Rockville Campus,INTRO TO COLLEGE WRITING - ENGL 101A - 400,Lern about build and trades,538
Finance,Nursing,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLES OF BIOLOGY 107,First in a two semetre sequence natural science.,7.4
Finance,Nursing,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLES OF BIOLOGY LAB,Laboratory component of BI 107.,0
Finance,Nursing,AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,GENERAL PSYCHOLOGY,Introduction to the fields and research methods of psychology.,7.4
